MicroRNA	Sample_P004	Sample_P018	Sample_P010	Sample_P020	Sample_P015	Sample_P005	Sample_P007	Sample_P011	Sample_P009	Sample_P001	Sample_P006	Sample_P016	Sample_P019	Sample_P013	Sample_P012	Sample_P014	Sample_P017	Sample_P003	Sample_P002	Sample_P008
hsa-miR-576-3p	1	10	9	12	2	2	3	7	11	1	12	12	9	12	3	2	13	3	5	3
hsa-miR-140-5p	15	126	175	141	16	28	17	153	120	25	107	143	52	151	46	67	148	40	61	17
hsa-miR-2682-5p												1								
hsa-miR-520f-3p			1	2	1							1								
hsa-miR-522-5p				0.333333333333333	0.166666666666667															
hsa-miR-1298-5p														1			1			
hsa-miR-133a-3p	3680	12014	1077	1093.5	26.5	18016	4672.5	12436.5	14	59	19227.5	17337	21	43626	15061.5	663.5	56568	53656.5	8294.5	872
hsa-miR-487a-3p	1	7	5	8	4	1	2	7		1	3	6	1	11	1	2	12		4	
hsa-miR-548av-5p												2								
hsa-miR-30d-5p	6700	11499	11606	20103	4665.5	14738	8255.5	21423	9285	4911.5	13927	11075.5	7017.5	29105.5	10350.5	19876.5	24024	16851.5	18961.5	6662
hsa-miR-6827-3p															1	2		1		1
hsa-miR-4649-5p																		1		
hsa-miR-518d-5p				0.25																
hsa-miR-665	3	9	10	9	10	6	2	16	10	6	5	10	9	20	4	3	24	5	6	2
hsa-miR-4740-5p				1			1					1			1		3			
hsa-miR-7108-5p								1										2		
hsa-miR-520b				0.5								0.5								
hsa-miR-6887-5p	1					1													2	
hsa-miR-3622a-5p	2	1	2	2		1	4	6	1	2	3	1			1	6	11	4		1
hsa-miR-3690		2	10	10	4			2	5			1	1	1		2	3	4		1
hsa-miR-34b-5p		35	30	14	5	12	1	18	10		4	19		29.5	5	2	22	2	9	8
hsa-miR-381-3p	90	834	357	677	98	446	123	1159	235	60	1925	307	121	1312	511	131	1656.5	326	284	43
hsa-miR-4709-3p										1				1						
hsa-miR-518a-3p																	1			
hsa-miR-6786-3p	1	3	1					2								1				1
hsa-miR-6738-5p					1															
hsa-miR-645														1						
hsa-miR-374b-3p		6	12	2	1	3	1	5	5		7	14		2		1	4	1		
hsa-miR-17-5p	114.166666666667	623.5	1153.83333333333	324.333333333333	149.5	133.333333333333	153.333333333333	746.5	548.5	32.3333333333333	480.666666666667	562.666666666667	240.5	745.666666666667	430.166666666667	320.666666666667	458	135.166666666667	409.5	137
hsa-miR-6895-3p							1		1			1	1							
hsa-miR-6873-5p						1														
hsa-miR-448											1									
hsa-miR-3200-5p	1		1									1			1		1	1		
hsa-miR-3681-5p				1				1			1									
hsa-miR-548s		1	1	1				1												
hsa-miR-515-5p		1	1	13							2	3							1	
hsa-miR-6891-5p								1						1						
hsa-miR-92b-3p	790.5	845.5	2389	747.5	636.5	1758	602	2135.5	619	387.5	611.5	933	692	1864.5	1093.5	2444	1200	1657.5	1628.5	697.5
hsa-miR-3940-5p										1		1				1				1
hsa-miR-3680-5p																		1		
hsa-miR-431-3p		8	9	7	1	14	2	15	3	3	12	2	7	26	7	3	20	9	6	2
hsa-miR-103a-2-5p	1	7	10	10	1	3		5	3	1	4	2	1	3	1	2	9	2	4	
hsa-miR-6877-5p																	2			1
hsa-miR-1298-3p								1												2
hsa-miR-3187-3p		1		2		1				2							1			
hsa-miR-3155a			1			1	1	2												1
hsa-miR-5089-3p																		1		
hsa-miR-758-5p				3									1	3					2	
hsa-miR-4695-3p	21	24	16	27	20	19	16	31	15	13	23	27	26	17	56	44	11	24	33	16
hsa-miR-377-5p	2	15	4	16	1	19	1	20	3	3	13	2	6	26	3	2	29	10	10	
hsa-miR-4328													1			1	1		1	
hsa-miR-450a-2-3p			1		1				1								1			
hsa-miR-202-3p													1							
hsa-miR-541-5p														1					1	
hsa-miR-5196-3p	2			2												1			1	1
hsa-miR-3622a-3p	1	2				5					2				1	3	2	4	3	2
hsa-miR-6793-3p	1	2	4		1	3	1	3		2	2		1	4	1	3	1	1	2	1
hsa-miR-6515-3p	1				2	1		1	1		1			1		1			1	
hsa-miR-4314				2				1		1	2									
hsa-miR-1276	1		5		2	1		5			1	2	1	1	3	3			1	
hsa-miR-2114-3p		1	1	1	1		1				2							1		
hsa-miR-2276-3p		1	1					1												
hsa-miR-615-5p											2								1	
hsa-miR-3120-3p			1										2					1		
hsa-miR-6780b-5p																		1		
hsa-miR-1306-5p	4	2	4	3	2	17	14	15	2	2	2	5	6	12	3	8	10	12	4	5
hsa-miR-519b-3p				1								1								
hsa-miR-3677-3p	1	3	4	1	4	1		6	6		3	2	3	3	3	1	5		1	2
hsa-miR-138-1-3p		4	1	3	3		2	6	4	3				1	1	1	1	1	1	
hsa-miR-4641																1	1			
hsa-miR-489-3p		7	5	8		2	1	15	8		10	16		12	6	7	18	2	1	
hsa-miR-23a-3p	1929.5	8616	12009.5	4244	2310.5	3825	2808.5	13711	5541	914	7433	6308	2347.5	11109.5	5434.5	7052.5	7549.5	5170	7737	2678
hsa-miR-4520b-3p	0.5	2.5	2.5		0.5	0.5		1	1		1.5	1		1.5			0.5		2	0.5
hsa-miR-370-5p		3		1				3	1		1	1		5						
hsa-miR-4732-5p			1			1	1										1		1	
hsa-miR-6796-5p									1	1						1	1			
hsa-miR-675-3p	22	9	32	10	19	69	40	60		1	12	27	4	80	38	61	53	124	35	16
hsa-miR-1269a	1			1			2	4			48		50		1	14				
hsa-miR-2110	8	8	20	11	4	20	11	23	4	4	14	5	5	29	7	25	14	27	15	5
hsa-miR-1237-5p								2												
hsa-miR-4421								3									1	1		
hsa-miR-483-3p	8	5	4	13	5	30	7	18	9	29	12	11	16	24	4	36	23	68	18	2
hsa-miR-3195	97	112	89	156	201	193	51	271	104	301	72	164	136	77	264	262	236	167	146	128
hsa-miR-4659a-3p			2																	
hsa-miR-193a-5p	19	39	44	46	14	33	20	51	25	9	21	21	19	69	18	51	77	56	33	18
