mirID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-129-2-3p,8.05188192706533,-2.3423901853863107,0.6526545247525483,-3.5890200658218374,3.319232949693924e-4,0.13375275322423008
hsa-miR-320b,143.98782414916604,-1.4715072057584655,0.4429286073414498,-3.3222220948670707,8.930358069337676e-4,0.13375275322423008
hsa-miR-210-5p,16.050761308946004,-1.2874177601188546,0.4048610874852823,-3.1798999704204847,0.001473258984309689,0.13375275322423008
hsa-miR-320a,2371.009004821948,-1.0156637290748438,0.3219550920837371,-3.1546751520571705,0.0016067689967535139,0.13375275322423008
hsa-miR-3065-5p,9.530655882867485,-1.4883320281534635,0.4723551792505091,-3.1508747940797757,0.0016278225544531044,0.13375275322423008
hsa-miR-204-5p,544.1479743808629,-1.8269104591170968,0.5896742180839087,-3.0981691298179386,0.0019472026742784034,0.13713870263132183
hsa-miR-320c,31.72535568509082,-1.0362649772882537,0.347421312716332,-2.982732893345434,0.002856872005604919,0.17605473734540314
hsa-miR-3065-3p,10.463675106948116,-1.3629965259942547,0.472961498650434,-2.881833996812594,0.0039536796763735725,0.19491640804521712
hsa-miR-375,614.9115376592476,-1.9800396135980989,0.7249270581126759,-2.731363923362259,0.006307278144926044,0.20416079874221177
hsa-miR-1249,47.890918482162135,-1.348634724594838,0.5082344521125053,-2.653568090453454,0.00796456996917862,0.21814072193361445
hsa-miR-1268b,7.128233637259562,-1.000054946964784,0.3879618800947911,-2.5777144566895065,0.009945614522545868,0.22287217998250514
hsa-miR-483-3p,20.69668412934339,-1.4083773079300363,0.5724665235299975,-2.4601915571334483,0.013886287658493741,0.26533032514796173
hsa-miR-4532,1451.8865655976522,-1.1024685433374224,0.4558753325967483,-2.418355336441571,0.015590843541326699,0.26533032514796173
hsa-miR-6511b-3p,10.580664117936985,-1.263089846577438,0.5329633652021581,-2.3699374648355724,0.017791094122213108,0.26533032514796173
hsa-miR-296-5p,10.525325540567778,-1.0523759529937797,0.4460129148477835,-2.359519013822587,0.018298643113652535,0.26533032514796173
hsa-miR-1306-5p,7.688613875889069,-1.2568042287817587,0.5430872299414944,-2.314184829787199,0.020657585747808273,0.2828941603797077
hsa-miR-6511a-3p,7.301442005267489,-1.337236050919214,0.5870897045979485,-2.2777371847032843,0.02274224085297335,0.28767491831621045
hsa-miR-483-5p,5.121823275967665,-1.6849056566676393,0.739839503775277,-2.2773934725975677,0.02276273954662533,0.28767491831621045
hsa-miR-486-5p,13266.199322800216,-1.128662748388121,0.5018344698708366,-2.2490737806006416,0.02450780237176641,0.28767491831621045
hsa-miR-3960,38.33304536721477,-1.0479406510784288,0.46803508878402167,-2.2390215524246924,0.02515451385962372,0.2878213643725413
hsa-miR-1247-5p,206.20305985920905,-1.1894227156495865,0.5808744735939747,-2.0476415640894228,0.040595133545991265,0.2878213643725413
